date,cases_new,cases_recovered,cases_active
1/3/2022,1767,1412,22525
2/3/2022,1949,1970,22487
3/3/2022,1979,3991,20466
4/3/2022,2359,2552,20260
5/3/2022,2713,2994,19969
6/3/2022,2348,3996,18310
7/3/2022,2059,1910,18442
8/3/2022,1721,1253,18902
9/3/2022,2986,1157,20717
10/3/2022,2220,4558,18366
11/3/2022,2566,1136,19784
12/3/2022,2298,382,21688
13/3/2022,1973,1443,22201
14/3/2022,2419,3923,20688
15/3/2022,2241,3073,19842
16/3/2022,2577,1471,20937
17/3/2022,1990,2690,20230
18/3/2022,1621,666,21175
19/3/2022,1286,3148,19307
20/3/2022,1441,2780,17967
