date,cases_new,cases_recovered,cases_active
1/3/2022,2801,3308,28347
2/3/2022,2752,3369,27721
3/3/2022,3242,2367,28582
4/3/2022,3060,2553,29076
5/3/2022,2946,2558,29448
6/3/2022,2721,2634,29522
7/3/2022,2884,2477,29919
8/3/2022,3015,2839,30087
9/3/2022,3179,3172,30075
10/3/2022,2927,2120,30868
11/3/2022,2508,2651,30715
12/3/2022,2292,2783,30210
13/3/2022,2332,2660,29867
14/3/2022,2382,3165,29072
15/3/2022,2391,2971,28486
16/3/2022,2034,3053,27457
17/3/2022,1916,2775,26594
18/3/2022,1529,2881,25235
19/3/2022,1353,3047,23538
20/3/2022,1113,3030,21621
