date,cases_new,cases_recovered,cases_active
1/3/2022,1518,2046,13031
2/3/2022,1758,1789,12999
3/3/2022,1739,1294,13438
4/3/2022,1572,1030,13974
5/3/2022,1550,1001,14519
6/3/2022,1279,1062,14728
7/3/2022,1896,1601,15019
8/3/2022,1647,1740,14921
9/3/2022,1691,1727,14881
10/3/2022,1637,1322,15193
11/3/2022,1580,1256,15511
12/3/2022,1114,1354,15267
13/3/2022,1005,1630,14639
14/3/2022,1086,1722,14000
15/3/2022,1212,1602,13605
16/3/2022,995,1629,12968
17/3/2022,863,1359,12470
18/3/2022,625,1885,11208
19/3/2022,540,1403,10345
20/3/2022,518,1440,9423
