date,cases_new,cases_recovered,cases_active
25/1/2020,4,0,4
26/1/2020,0,0,4
27/1/2020,0,0,4
28/1/2020,0,0,4
29/1/2020,3,0,7
30/1/2020,1,0,8
31/1/2020,0,0,8
1/2/2020,0,0,8
2/2/2020,0,0,8
3/2/2020,0,0,8
4/2/2020,2,0,10
5/2/2020,2,1,11
6/2/2020,2,0,13
7/2/2020,1,0,14
8/2/2020,1,1,14
9/2/2020,1,1,14
10/2/2020,1,0,15
11/2/2020,0,0,15
12/2/2020,0,0,15
13/2/2020,0,0,15
14/2/2020,1,4,12
15/2/2020,3,1,14
16/2/2020,0,0,14
17/2/2020,0,3,11
18/2/2020,0,2,9
19/2/2020,0,4,5
20/2/2020,0,0,5
21/2/2020,0,0,5
22/2/2020,0,1,4
23/2/2020,0,0,4
24/2/2020,0,2,2
25/2/2020,0,0,2
26/2/2020,0,0,2
27/2/2020,1,2,1
28/2/2020,2,0,3
29/2/2020,0,0,3
1/3/2020,4,0,7
2/3/2020,0,0,7
3/3/2020,7,0,14
4/3/2020,14,1,27
5/3/2020,5,0,32
6/3/2020,28,0,60
7/3/2020,10,1,69
8/3/2020,6,1,74
9/3/2020,18,1,91
10/3/2020,12,0,103
11/3/2020,20,1,122
12/3/2020,9,6,125
13/3/2020,39,0,164
14/3/2020,41,4,201
15/3/2020,190,5,386
16/3/2020,125,0,511
17/3/2020,120,7,622
18/3/2020,117,11,728
19/3/2020,110,15,823
20/3/2020,130,12,940
21/3/2020,153,27,1062
22/3/2020,123,25,1156
23/3/2020,212,20,1343
24/3/2020,106,24,1423
25/3/2020,172,16,1576
26/3/2020,235,16,1790
27/3/2020,130,44,1874
28/3/2020,159,61,1966
29/3/2020,150,68,2043
30/3/2020,156,90,2105
31/3/2020,140,58,2182
1/4/2020,142,108,2214
2/4/2020,208,122,2298
3/4/2020,217,60,2450
4/4/2020,150,88,2509
5/4/2020,179,90,2596
6/4/2020,131,236,2489
7/4/2020,170,80,2578
8/4/2020,156,166,2567
9/4/2020,109,121,2553
