date,cases_new,cases_recovered,cases_active
1/3/2022,507,1457,8585
2/3/2022,664,110,9136
3/3/2022,821,530,9422
4/3/2022,741,711,9452
5/3/2022,931,135,10245
6/3/2022,796,126,10908
7/3/2022,863,1263,10508
8/3/2022,554,564,10498
9/3/2022,725,139,11083
10/3/2022,732,129,11682
11/3/2022,838,1381,11138
12/3/2022,766,196,11702
13/3/2022,563,47,12215
14/3/2022,564,1538,11236
15/3/2022,635,142,11725
16/3/2022,727,1590,10858
17/3/2022,750,1217,10387
18/3/2022,645,1241,9790
19/3/2022,639,1370,9059
20/3/2022,508,15,9552
