date,cases_new,cases_recovered,cases_active
1/3/2022,1808,735,17131
2/3/2022,1373,2362,16140
3/3/2022,2045,674,17508
4/3/2022,1679,1331,17853
5/3/2022,1565,1142,18273
6/3/2022,1565,1962,17875
7/3/2022,1575,1845,17602
8/3/2022,1883,1597,17885
9/3/2022,1798,2104,17572
10/3/2022,2115,1509,18175
11/3/2022,1973,1094,19052
12/3/2022,1786,1832,18999
13/3/2022,1950,1349,19599
14/3/2022,1359,2032,18924
15/3/2022,1547,1697,18771
16/3/2022,1968,1563,19174
17/3/2022,1882,1584,19469
18/3/2022,1502,1566,19404
19/3/2022,1405,1858,18949
20/3/2022,885,1779,18055
