date,cases_new,cases_recovered,cases_active
1/3/2022,1269,1017,17318
2/3/2022,1331,1886,16760
3/3/2022,1912,1449,17219
4/3/2022,1535,1308,17444
5/3/2022,1619,1621,17438
6/3/2022,1844,1506,17772
7/3/2022,1858,1630,17998
8/3/2022,1409,1649,17757
9/3/2022,1529,1604,17680
10/3/2022,1601,1454,17824
11/3/2022,2006,1703,18122
12/3/2022,1424,1297,18243
13/3/2022,1352,1341,18249
14/3/2022,1151,1883,17513
15/3/2022,1055,1512,17054
16/3/2022,1302,1601,16752
17/3/2022,1434,3087,15098
18/3/2022,1000,1999,14098
19/3/2022,1009,1153,13954
20/3/2022,1100,1804,13250
