date,cases_new,cases_recovered,cases_active
1/3/2022,1288,1009,10911
2/3/2022,1430,899,11432
3/3/2022,1713,716,12424
4/3/2022,1544,755,13202
5/3/2022,1491,1166,13517
6/3/2022,1262,1033,13739
7/3/2022,1142,1413,13457
8/3/2022,1279,1571,13153
9/3/2022,1442,1742,12842
10/3/2022,1469,1239,13063
11/3/2022,1494,1635,12912
12/3/2022,1555,1457,12990
13/3/2022,1292,1357,12911
14/3/2022,1122,1652,12366
15/3/2022,1296,1725,11924
16/3/2022,1446,1144,12217
17/3/2022,1561,1321,12443
18/3/2022,1703,1196,12945
19/3/2022,1403,1249,13097
20/3/2022,1300,1094,13303
