date,cases_new,cases_recovered,cases_active
1/3/2022,300,300,2730
2/3/2022,211,279,2661
3/3/2022,273,118,2812
4/3/2022,270,213,2867
5/3/2022,228,293,2801
6/3/2022,206,286,2721
7/3/2022,126,250,2596
8/3/2022,190,285,2499
9/3/2022,224,205,2516
10/3/2022,248,316,2443
11/3/2022,251,268,2425
12/3/2022,191,303,2312
13/3/2022,89,212,2188
14/3/2022,153,236,2105
15/3/2022,186,269,2020
16/3/2022,159,235,1944
17/3/2022,171,202,1913
18/3/2022,128,140,1901
19/3/2022,123,187,1837
20/3/2022,90,221,1706
