date,cases_new,cases_recovered,cases_active
1/3/2022,2377,1836,15937
2/3/2022,2422,2142,16212
3/3/2022,2488,1956,16741
4/3/2022,2592,1977,17350
5/3/2022,2621,2258,17708
6/3/2022,1663,2063,17302
7/3/2022,1836,2438,16697
8/3/2022,2425,2689,16424
9/3/2022,2462,2204,16678
10/3/2022,2773,2284,17162
11/3/2022,2750,1867,18038
12/3/2022,2533,3490,17071
13/3/2022,1548,2541,16075
14/3/2022,2137,2756,15448
15/3/2022,2324,888,16881
16/3/2022,2441,3446,15873
17/3/2022,2315,1385,16798
18/3/2022,2306,3013,16089
19/3/2022,1928,2673,15344
20/3/2022,1772,2100,15016
