date,cases_new,cases_recovered,cases_active
1/3/2022,136,187,1939
2/3/2022,171,203,1907
3/3/2022,135,175,1864
4/3/2022,187,162,1889
5/3/2022,132,162,1858
6/3/2022,171,187,1841
7/3/2022,182,116,1907
8/3/2022,201,153,1955
9/3/2022,140,184,1911
10/3/2022,139,174,1876
11/3/2022,231,201,1906
12/3/2022,191,132,1964
13/3/2022,121,170,1915
14/3/2022,159,134,1940
15/3/2022,183,186,1937
16/3/2022,180,135,1981
17/3/2022,150,172,1959
18/3/2022,142,182,1919
19/3/2022,128,197,1850
20/3/2022,133,144,1839
