date,cases_new,cases_recovered,cases_active
1/3/2022,2158,366,45621
2/3/2022,2236,4301,43548
3/3/2022,2717,3985,42274
4/3/2022,2131,3684,40714
5/3/2022,1778,3325,39162
6/3/2022,1515,4106,36568
7/3/2022,1235,3494,34308
8/3/2022,1216,3060,32457
9/3/2022,1352,2532,31273
10/3/2022,1154,1824,30602
11/3/2022,1176,1810,29964
12/3/2022,796,1763,28992
13/3/2022,845,2052,27782
14/3/2022,622,1644,26756
15/3/2022,591,1396,25949
16/3/2022,708,1222,25435
17/3/2022,769,1018,25184
18/3/2022,596,991,24789
19/3/2022,421,1094,24116
20/3/2022,339,883,23572
