date,cases_new,cases_recovered,cases_active
1/3/2022,1248,324,5228
2/3/2022,1357,460,6124
3/3/2022,1206,411,6918
4/3/2022,1333,309,7941
5/3/2022,1455,484,8911
6/3/2022,1244,435,9719
7/3/2022,857,471,10105
8/3/2022,1903,602,11404
9/3/2022,1727,473,12655
10/3/2022,1963,563,14051
11/3/2022,1745,474,15322
12/3/2022,1427,1242,15503
13/3/2022,1354,1300,15555
14/3/2022,965,1207,15312
15/3/2022,1867,1397,15781
16/3/2022,1555,1457,15875
17/3/2022,1484,1272,16085
18/3/2022,1316,901,16499
19/3/2022,1177,1918,15758
20/3/2022,852,1744,14866
