date,cases_new,cases_recovered,cases_active
1/3/2022,5969,8245,76278
2/3/2022,6494,4503,78253
3/3/2022,8053,7152,79145
4/3/2022,8897,7630,80405
5/3/2022,9651,7500,82545
6/3/2022,7012,7802,81748
7/3/2022,6757,9028,79457
8/3/2022,8095,7226,80312
9/3/2022,6606,6654,80252
10/3/2022,7525,6769,80995
11/3/2022,9120,6588,83514
12/3/2022,6472,5940,84031
13/3/2022,5345,6393,82969
14/3/2022,4388,7978,79364
15/3/2022,7217,8880,77690
16/3/2022,7561,9642,75587
17/3/2022,7558,7081,76058
18/3/2022,7430,6785,76699
19/3/2022,7366,8114,75949
20/3/2022,6761,6617,76093
