date,cases_new,cases_recovered,cases_active
1/3/2022,727,842,6230
2/3/2022,896,417,6708
3/3/2022,993,716,6980
4/3/2022,938,627,7287
5/3/2022,856,836,7305
6/3/2022,918,722,7498
7/3/2022,1270,634,8132
8/3/2022,1277,768,8638
9/3/2022,1283,680,9239
10/3/2022,1236,842,9632
11/3/2022,1100,957,9773
12/3/2022,881,955,9696
13/3/2022,1039,782,9948
14/3/2022,1222,1142,10027
15/3/2022,826,813,10037
16/3/2022,934,1088,9880
17/3/2022,764,1490,9153
18/3/2022,858,847,9163
19/3/2022,413,1417,8159
20/3/2022,547,1215,7491
