date,deaths_new
17/3/2020,2
18/3/2020,0
19/3/2020,0
20/3/2020,1
21/3/2020,4
22/3/2020,4
23/3/2020,5
24/3/2020,2
25/3/2020,3
26/3/2020,5
27/3/2020,2
28/3/2020,6
29/3/2020,5
30/3/2020,4
31/3/2020,5
1/4/2020,2
2/4/2020,2
3/4/2020,5
4/4/2020,3
5/4/2020,2
6/4/2020,2
7/4/2020,1
8/4/2020,1
9/4/2020,2
10/4/2020,3
11/4/2020,3
12/4/2020,5
13/4/2020,1
14/4/2020,3
15/4/2020,2
16/4/2020,2
17/4/2020,1
18/4/2020,0
19/4/2020,1
20/4/2020,1
21/4/2020,2
22/4/2020,2
23/4/2020,1
24/4/2020,1
25/4/2020,2
26/4/2020,0
27/4/2020,1
28/4/2020,1
29/4/2020,1
30/4/2020,2
1/5/2020,0
2/5/2020,1
3/5/2020,1
4/5/2020,0
5/5/2020,2
6/5/2020,0
7/5/2020,1
8/5/2020,0
9/5/2020,1
10/5/2020,1
11/5/2020,0
12/5/2020,1
13/5/2020,2
14/5/2020,0
15/5/2020,0
16/5/2020,0
17/5/2020,0
18/5/2020,1
19/5/2020,0
20/5/2020,0
21/5/2020,1
22/5/2020,0
23/5/2020,0
24/5/2020,0
25/5/2020,0
26/5/2020,0
27/5/2020,0
28/5/2020,0
29/5/2020,0
30/5/2020,0
31/5/2020,0
1/6/2020,0
2/6/2020,0
3/6/2020,0
4/6/2020,1
5/6/2020,1
6/6/2020,0
7/6/2020,0
8/6/2020,0
9/6/2020,0
10/6/2020,1
11/6/2020,1
12/6/2020,2
13/6/2020,0
14/6/2020,0
15/6/2020,0
16/6/2020,0
17/6/2020,0
18/6/2020,0
19/6/2020,0
20/6/2020,0
21/6/2020,0
22/6/2020,0
23/6/2020,0
24/6/2020,0
25/6/2020,0
26/6/2020,0
27/6/2020,0
28/6/2020,0
29/6/2020,0
30/6/2020,0
1/7/2020,0
2/7/2020,0
3/7/2020,0
4/7/2020,0
5/7/2020,0
6/7/2020,0
7/7/2020,0
8/7/2020,0
9/7/2020,0
10/7/2020,1
11/7/2020,0
12/7/2020,0
13/7/2020,0
14/7/2020,0
15/7/2020,0
16/7/2020,0
17/7/2020,1
18/7/2020,0
19/7/2020,0
20/7/2020,0
21/7/2020,0
22/7/2020,0
23/7/2020,0
24/7/2020,0
25/7/2020,0
26/7/2020,1
27/7/2020,0
28/7/2020,0
29/7/2020,1
30/7/2020,0
31/7/2020,0
1/8/2020,0
2/8/2020,0
3/8/2020,0
4/8/2020,0
5/8/2020,0
6/8/2020,0
7/8/2020,0
8/8/2020,0
9/8/2020,0
10/8/2020,0
11/8/2020,0
12/8/2020,0
13/8/2020,0
14/8/2020,0
15/8/2020,0
16/8/2020,0
17/8/2020,0
18/8/2020,0
19/8/2020,0
20/8/2020,0
21/8/2020,0
22/8/2020,0
23/8/2020,0
24/8/2020,0
25/8/2020,0
26/8/2020,0
27/8/2020,0
28/8/2020,0
29/8/2020,1
30/8/2020,1
31/8/2020,0
1/9/2020,1
2/9/2020,0
3/9/2020,0
4/9/2020,0
5/9/2020,0
6/9/2020,0
7/9/2020,0
8/9/2020,0
9/9/2020,0
10/9/2020,0
11/9/2020,0
12/9/2020,0
13/9/2020,0
14/9/2020,1
15/9/2020,0
16/9/2020,0
17/9/2020,0
18/9/2020,1
19/9/2020,1
20/9/2020,0
21/9/2020,0
22/9/2020,1
23/9/2020,1
24/9/2020,0
25/9/2020,0
26/9/2020,1
27/9/2020,1
28/9/2020,1
29/9/2020,0
30/9/2020,0
1/10/2020,0
2/10/2020,2
3/10/2020,1
4/10/2020,2
5/10/2020,3
6/10/2020,1
7/10/2020,3
8/10/2020,5
9/10/2020,4
10/10/2020,3
11/10/2020,3
12/10/2020,3
13/10/2020,4
14/10/2020,4
15/10/2020,2
16/10/2020,6
17/10/2020,6
18/10/2020,2
19/10/2020,7
20/10/2020,4
21/10/2020,7
22/10/2020,11
23/10/2020,9
24/10/2020,3
25/10/2020,6
26/10/2020,2
27/10/2020,2
28/10/2020,10
29/10/2020,4
30/10/2020,3
31/10/2020,5
1/11/2020,3
2/11/2020,2
3/11/2020,2
4/11/2020,1
5/11/2020,6
6/11/2020,2
7/11/2020,3
8/11/2020,4
9/11/2020,8
10/11/2020,6
11/11/2020,2
12/11/2020,1
13/11/2020,1
14/11/2020,2
15/11/2020,3
16/11/2020,4
17/11/2020,5
18/11/2020,4
19/11/2020,4
20/11/2020,3
21/11/2020,3
22/11/2020,3
23/11/2020,2
24/11/2020,4
25/11/2020,4
26/11/2020,3
27/11/2020,2
28/11/2020,4
29/11/2020,3
30/11/2020,3
1/12/2020,2
2/12/2020,2
3/12/2020,11
4/12/2020,0
5/12/2020,4
6/12/2020,3
7/12/2020,2
8/12/2020,4
9/12/2020,5
10/12/2020,3
11/12/2020,6
12/12/2020,9
13/12/2020,4
14/12/2020,4
15/12/2020,3
16/12/2020,7
17/12/2020,3
18/12/2020,0
19/12/2020,1
20/12/2020,4
21/12/2020,1
22/12/2020,1
23/12/2020,5
24/12/2020,2
25/12/2020,3
26/12/2020,2
27/12/2020,1
28/12/2020,3
29/12/2020,2
30/12/2020,6
31/12/2020,8
1/1/2021,3
2/1/2021,9
3/1/2021,11
4/1/2021,7
5/1/2021,11
6/1/2021,1
7/1/2021,8
8/1/2021,16
9/1/2021,5
10/1/2021,9
11/1/2021,4
12/1/2021,4
13/1/2021,4
14/1/2021,15
15/1/2021,8
16/1/2021,8
17/1/2021,7
18/1/2021,4
19/1/2021,14
20/1/2021,11
21/1/2021,12
22/1/2021,18
23/1/2021,7
24/1/2021,11
25/1/2021,11
26/1/2021,11
27/1/2021,7
28/1/2021,10
29/1/2021,16
30/1/2021,13
31/1/2021,14
1/2/2021,10
2/2/2021,21
3/2/2021,18
4/2/2021,17
5/2/2021,19
6/2/2021,12
7/2/2021,15
8/2/2021,24
9/2/2021,13
10/2/2021,14
11/2/2021,1
12/2/2021,18
13/2/2021,6
14/2/2021,8
15/2/2021,11
16/2/2021,9
17/2/2021,23
18/2/2021,1
19/2/2021,39
20/2/2021,9
21/2/2021,6
22/2/2021,7
23/2/2021,20
24/2/2021,12
25/2/2021,13
26/2/2021,10
27/2/2021,10
28/2/2021,9
1/3/2021,5
2/3/2021,6
3/3/2021,7
4/3/2021,5
5/3/2021,6
6/3/2021,7
7/3/2021,3
8/3/2021,8
9/3/2021,9
10/3/2021,5
11/3/2021,9
12/3/2021,3
13/3/2021,3
14/3/2021,4
15/3/2021,3
16/3/2021,5
17/3/2021,2
18/3/2021,3
19/3/2021,2
20/3/2021,4
21/3/2021,4
22/3/2021,5
23/3/2021,1
24/3/2021,2
25/3/2021,2
26/3/2021,1
27/3/2021,2
28/3/2021,4
29/3/2021,5
30/3/2021,4
31/3/2021,8
1/4/2021,6
2/4/2021,5
3/4/2021,3
4/4/2021,2
5/4/2021,7
6/4/2021,5
7/4/2021,4
8/4/2021,4
9/4/2021,5
10/4/2021,8
11/4/2021,8
12/4/2021,4
13/4/2021,12
14/4/2021,8
15/4/2021,10
16/4/2021,2
17/4/2021,5
18/4/2021,8
19/4/2021,8
20/4/2021,3
21/4/2021,11
22/4/2021,7
23/4/2021,8
24/4/2021,11
25/4/2021,10
26/4/2021,13
27/4/2021,13
28/4/2021,15
29/4/2021,15
30/4/2021,14
1/5/2021,15
2/5/2021,12
3/5/2021,18
4/5/2021,23
5/5/2021,17
6/5/2021,19
7/5/2021,22
8/5/2021,25
9/5/2021,26
10/5/2021,17
11/5/2021,22
12/5/2021,39
13/5/2021,27
14/5/2021,34
15/5/2021,44
16/5/2021,36
17/5/2021,45
18/5/2021,47
19/5/2021,46
20/5/2021,59
21/5/2021,50
22/5/2021,50
23/5/2021,49
24/5/2021,61
25/5/2021,60
26/5/2021,63
27/5/2021,59
28/5/2021,61
29/5/2021,98
30/5/2021,79
31/5/2021,67
1/6/2021,71
2/6/2021,126
3/6/2021,103
4/6/2021,86
5/6/2021,109
6/6/2021,87
7/6/2021,82
8/6/2021,76
9/6/2021,75
10/6/2021,73
11/6/2021,84
12/6/2021,76
13/6/2021,64
14/6/2021,60
15/6/2021,101
16/6/2021,73
17/6/2021,60
18/6/2021,74
19/6/2021,72
20/6/2021,60
21/6/2021,69
22/6/2021,77
23/6/2021,83
24/6/2021,84
25/6/2021,82
26/6/2021,81
27/6/2021,60
28/6/2021,57
29/6/2021,107
30/6/2021,62
1/7/2021,84
2/7/2021,73
3/7/2021,107
4/7/2021,63
5/7/2021,77
6/7/2021,103
7/7/2021,91
8/7/2021,135
9/7/2021,77
10/7/2021,87
11/7/2021,90
12/7/2021,103
13/7/2021,125
14/7/2021,118
15/7/2021,110
16/7/2021,115
17/7/2021,138
18/7/2021,153
19/7/2021,129
20/7/2021,93
21/7/2021,199
22/7/2021,134
23/7/2021,144
24/7/2021,184
25/7/2021,92
26/7/2021,207
27/7/2021,207
28/7/2021,143
29/7/2021,174
30/7/2021,134
31/7/2021,165
1/8/2021,160
2/8/2021,219
3/8/2021,195
4/8/2021,257
5/8/2021,164
6/8/2021,160
7/8/2021,210
8/8/2021,360
9/8/2021,212
10/8/2021,201
11/8/2021,211
12/8/2021,318
13/8/2021,277
14/8/2021,260
15/8/2021,282
16/8/2021,274
17/8/2021,293
18/8/2021,225
19/8/2021,178
20/8/2021,233
21/8/2021,223
22/8/2021,232
23/8/2021,174
24/8/2021,211
25/8/2021,265
26/8/2021,393
27/8/2021,339
28/8/2021,252
29/8/2021,285
30/8/2021,294
31/8/2021,282
1/9/2021,278
2/9/2021,249
3/9/2021,330
4/9/2021,362
5/9/2021,336
6/9/2021,272
7/9/2021,311
8/9/2021,361
9/9/2021,322
10/9/2021,341
11/9/2021,592
12/9/2021,292
13/9/2021,413
14/9/2021,463
15/9/2021,422
16/9/2021,346
17/9/2021,387
